GeneName,GeneId,CHR,NumVariants,LOF,Ancestral,NumNull,NumUpstream,NumSynonymous,NumStopLost,NumStopGain,NumStartLost,NumSpliceRegion,NumSpliceDonor,NumSpliceAcceptor,NumMissense,NumIntronic,NumInframeIndel,NumFrameshift,NumDownstream,Num3UTR,Num5UTR,MinPos,MaxPos
HTT,ENSG00000197386,4,548,4,21,0,0,81,0,1,0,17,0,1,90,325,29,2,0,0,2,3074734,3239013
MSANTD1,ENSG00000188981,4,75,0,1,0,7,15,0,0,0,2,0,0,29,16,0,0,0,6,0,3239760,3256060
RGS12,ENSG00000159788,4,251,2,7,0,0,43,0,2,0,6,0,0,59,90,0,0,0,36,15,3316133,3432224
HGFAC,ENSG00000109758,4,204,1,5,0,15,39,0,0,0,2,0,1,42,99,3,0,2,0,1,3439383,3449516
DOK7,ENSG00000175920,4,331,3,12,0,1,28,0,0,0,7,0,0,62,132,1,3,20,73,4,3463300,3496956
LRPAP1,ENSG00000163956,4,124,2,5,0,0,13,0,0,0,7,0,0,25,62,0,2,0,10,5,3512880,3532484
ADRA2C,ENSG00000184160,4,89,0,2,0,0,55,0,0,0,0,0,0,19,0,2,0,0,7,6,3766525,3768089
OTOP1,ENSG00000163982,4,90,3,4,0,1,18,0,2,0,0,1,0,41,24,1,0,2,0,0,4188770,4226951
TMEM128,ENSG00000132406,4,59,1,4,0,5,10,0,1,0,2,0,0,8,16,0,0,0,0,17,4240226,4248266
LYAR,ENSG00000145220,4,91,2,5,0,0,9,0,1,0,2,1,0,20,54,1,0,0,2,1,4267796,4283839
ZBTB49,ENSG00000168826,4,98,1,4,0,0,20,0,0,0,1,0,1,38,35,0,0,0,2,1,4299849,4321382
NSG1,ENSG00000168824,4,44,0,0,0,0,7,0,0,0,5,0,0,4,27,0,0,0,0,1,4387542,4409774
STX18,ENSG00000168818,4,117,4,1,0,1,6,0,0,0,5,1,1,15,64,0,2,12,5,5,4417196,4542055
MSX1,ENSG00000163132,4,71,0,0,0,0,12,0,0,0,2,0,0,18,11,1,0,0,5,22,4859805,4863213
CYTL1,ENSG00000170891,4,43,0,1,0,2,6,0,0,0,0,0,0,6,25,0,0,0,3,1,5015052,5019542
STK32B,ENSG00000152953,4,169,1,10,0,0,13,0,1,0,5,0,0,25,118,0,0,0,5,2,5051772,5499180
EVC2,ENSG00000173040,4,265,3,12,0,0,42,0,1,0,12,2,0,68,123,0,0,8,9,0,5562326,5697746
EVC,ENSG00000072840,4,311,1,17,0,14,31,0,0,0,9,0,0,68,177,2,1,0,6,3,5708268,5811121
CRMP1,ENSG00000072832,4,291,0,19,0,17,39,0,0,0,6,0,0,24,189,0,0,0,4,12,5821682,5893018
C4orf50,ENSG00000181215,4,171,6,12,0,0,37,0,0,0,4,0,1,75,47,0,5,0,1,1,5959295,5990254
JAKMIP1,ENSG00000152969,4,227,5,6,0,0,42,0,0,0,10,0,2,24,84,0,3,41,12,9,6026161,6112966
WFS1,ENSG00000109501,4,266,2,7,0,0,97,0,1,0,2,0,0,108,45,1,1,0,11,0,6277405,6302567
PPP2R2C,ENSG00000074211,4,401,0,18,0,94,19,0,0,0,4,0,0,4,252,0,0,0,5,23,6323205,6535341
MAN2B2,ENSG00000013288,4,261,5,12,0,2,41,0,2,0,3,0,0,76,127,1,3,0,3,3,6575111,6621372
MRFAP1,ENSG00000179010,4,14,0,0,0,0,6,0,0,0,0,0,0,4,1,0,0,0,0,3,6640762,6641271
S100P,ENSG00000163993,4,21,0,1,0,0,6,0,0,0,0,0,0,2,5,0,0,0,3,5,6693840,6697121
MRFAP1L1,ENSG00000178988,4,8,1,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,1,1,6709146,6709703
BLOC1S4,ENSG00000186222,4,18,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,4,4,6716125,6716940
KIAA0232,ENSG00000170871,4,146,1,1,0,0,39,0,0,1,1,0,0,47,46,1,0,0,2,9,6824410,6880979
TBC1D14,ENSG00000132405,4,154,0,5,0,10,15,0,0,0,1,0,0,29,83,0,0,0,4,12,6923399,7030470
TADA2B,ENSG00000173011,4,69,0,1,0,45,7,0,0,0,1,0,0,6,4,0,0,0,0,6,7041178,7043930
GRPEL1,ENSG00000109519,4,102,0,4,0,0,4,0,0,0,0,0,0,8,67,0,0,17,3,3,7053992,7068113
SORCS2,ENSG00000184985,4,379,2,12,0,2,66,0,2,0,14,0,0,70,215,0,0,0,5,5,7192554,7740354
PSAPL1,ENSG00000178597,4,79,3,1,0,1,25,0,2,0,0,0,0,42,0,1,1,0,5,2,7433261,7434974
AFAP1,ENSG00000196526,4,235,1,5,0,0,37,0,0,0,11,0,0,40,136,1,1,0,5,4,7763665,7872176
ABLIM2,ENSG00000163995,4,317,1,8,0,6,18,0,0,0,15,1,0,33,188,0,0,3,36,17,7966923,8158786
SH3TC1,ENSG00000125089,4,331,7,16,0,0,69,0,2,0,11,0,2,102,133,0,3,7,2,0,8205149,8241021
HTRA3,ENSG00000170801,4,127,0,4,0,0,20,0,0,0,3,0,0,25,52,0,0,2,23,2,8269883,8306226
ACOX3,ENSG00000087008,4,215,6,1,0,19,21,0,4,0,12,0,1,38,111,0,1,0,6,2,8366877,8441510
TRMT44,ENSG00000155275,4,163,3,4,0,0,11,0,2,0,2,0,0,33,94,0,1,15,5,0,8446386,8476019
GPR78,ENSG00000155269,4,78,1,3,0,0,24,0,1,0,0,0,0,30,13,0,0,0,2,8,8580883,8587428
CPZ,ENSG00000109625,4,301,3,12,0,0,41,0,1,0,7,0,0,66,150,2,2,0,8,24,8592741,8619693
HMX1,ENSG00000215612,4,98,2,2,0,0,14,0,0,0,0,0,1,22,6,1,1,2,38,13,8846141,8871809
FAM90A26,ENSG00000229924,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9165415,9165530
DEFB131,ENSG00000186146,4,32,0,0,0,6,3,0,0,0,1,0,0,8,8,0,0,6,0,0,9444454,9450598
DRD5,ENSG00000169676,4,47,1,5,0,0,12,0,0,0,0,0,0,26,0,0,1,0,3,5,9781972,9783531
SLC2A9,ENSG00000109667,4,201,0,7,0,7,18,0,0,0,5,0,0,30,135,1,0,0,4,1,10018880,9996981
WDR1,ENSG00000071127,4,186,0,7,0,0,25,0,0,0,4,0,0,14,133,0,0,0,3,7,10075292,10116757
ZNF518B,ENSG00000178163,4,75,0,3,0,0,16,0,0,0,0,0,0,46,0,0,0,0,6,7,10443020,10446431
CLNK,ENSG00000109684,4,130,1,1,0,6,7,0,1,0,9,0,0,19,78,0,0,7,1,2,10490464,10667969
HS3ST1,ENSG00000002587,4,32,0,2,0,0,18,0,0,0,0,0,0,8,1,0,0,0,3,2,11398989,11400143
RAB28,ENSG00000157869,4,145,0,8,0,0,10,0,0,0,2,0,0,7,89,0,0,10,17,10,13367644,13484229
NKX3-2,ENSG00000109705,4,45,0,1,0,0,14,0,0,0,4,0,0,11,8,0,0,0,4,4,13541898,13544475
BOD1L1,ENSG00000038219,4,311,0,8,0,0,68,0,0,0,10,0,0,106,121,2,0,0,2,2,13569940,13627641
CPEB2,ENSG00000137449,4,212,1,0,0,6,67,0,0,0,4,1,0,56,58,14,0,0,6,0,15002594,15066413
C1QTNF7,ENSG00000163145,4,79,0,0,0,2,26,0,0,0,1,0,0,12,26,0,0,0,1,11,15340129,15442890
CC2D2A,ENSG00000048342,4,316,9,11,0,0,29,0,4,0,12,2,0,78,155,1,3,18,14,0,15478719,15605896
FBXL5,ENSG00000118564,4,126,4,1,0,12,33,0,0,0,8,2,2,15,45,0,0,0,0,9,15612210,15659804
FAM200B,ENSG00000237765,4,62,8,2,0,0,14,0,2,0,0,0,0,34,0,1,6,0,0,5,15686884,15688927
BST1,ENSG00000109743,4,98,3,4,0,0,6,0,2,0,2,0,0,15,48,0,1,14,7,3,15703032,15737767
CD38,ENSG00000004468,4,60,3,1,0,0,4,0,1,0,1,2,0,17,30,0,0,0,2,3,15778320,15848630
FGFBP1,ENSG00000137440,4,31,1,2,0,0,3,0,0,0,0,0,0,19,1,0,1,0,4,3,15935830,15936715
FGFBP2,ENSG00000137441,4,35,2,2,0,0,6,0,2,0,1,0,0,14,8,0,0,0,0,4,15962364,15963169
PROM1,ENSG00000007062,4,223,2,4,0,0,18,0,0,0,15,0,1,39,143,0,1,0,1,5,15970997,16076046
TAPT1,ENSG00000169762,4,155,0,3,0,5,13,0,0,0,7,0,0,19,104,0,0,0,1,6,16163294,16226553
LDB2,ENSG00000169744,4,103,0,4,0,0,8,0,0,0,1,0,0,7,79,0,0,0,5,3,16502561,16898529
QDPR,ENSG00000151552,4,60,0,6,0,11,5,0,0,0,0,0,0,7,25,1,0,0,3,8,17487039,17515619
CLRN2,ENSG00000249581,4,18,1,1,0,0,5,0,0,0,1,0,1,7,4,0,0,0,0,0,17522862,17527102
LAP3,ENSG00000002549,4,119,0,2,0,0,19,0,0,0,8,0,0,25,61,0,0,0,2,4,17577370,17607678
MED28,ENSG00000118579,4,40,0,2,0,4,11,0,0,0,0,0,0,7,17,0,0,0,0,1,17614563,17623794
FAM184B,ENSG00000047662,4,221,1,10,0,0,27,0,0,0,5,0,0,50,134,1,1,0,2,1,17632432,17781326
DCAF16,ENSG00000163257,4,23,1,0,0,0,11,0,1,0,0,0,0,8,0,0,0,0,0,3,17803568,17804222
NCAPG,ENSG00000109805,4,179,1,5,0,0,10,0,0,0,8,0,0,37,98,0,1,20,2,3,17810992,17845963
LCORL,ENSG00000178177,4,401,2,7,0,16,64,0,1,1,4,0,0,90,64,12,0,14,126,9,17842344,18021844
SLIT2,ENSG00000145147,4,306,0,7,0,0,39,0,0,0,10,0,0,38,210,0,0,0,5,4,20253724,20619073
PACRGL,ENSG00000163138,4,119,1,3,0,0,3,0,0,0,2,0,1,14,55,0,0,41,3,0,20704385,20749783
KCNIP4,ENSG00000185774,4,193,0,5,0,76,7,0,0,0,5,0,0,7,68,0,0,0,0,30,20758731,21948791
ADGRA3,ENSG00000152990,4,223,1,7,0,17,34,0,1,0,5,0,0,59,81,2,0,19,3,2,22387668,22515882
PPARGC1A,ENSG00000109819,4,174,1,5,0,7,44,0,1,0,7,0,0,30,70,1,0,8,4,2,23795745,23890170
DHX15,ENSG00000109606,4,117,0,0,0,0,33,0,0,0,3,0,0,8,61,0,0,0,11,1,24527826,24584400
SOD3,ENSG00000109610,4,38,1,0,0,0,10,0,1,0,0,0,0,16,6,0,0,0,5,0,24799441,24800327
CCDC149,ENSG00000181982,4,124,0,1,0,2,17,0,0,0,4,0,0,26,64,0,0,0,2,9,24808309,24912967
LGI2,ENSG00000153012,4,63,0,4,0,0,20,0,0,0,3,0,0,12,26,0,0,0,2,0,25003401,25030608
SEPSECS,ENSG00000109618,4,100,1,1,0,2,15,0,1,0,8,0,0,20,51,0,0,0,3,0,25123882,25160460
PI4K2B,ENSG00000038210,4,179,2,3,0,0,10,0,0,1,1,0,0,15,148,1,1,0,0,2,25234082,25277169
ZCCHC4,ENSG00000168228,4,144,3,4,0,2,9,0,0,0,4,0,2,23,71,0,1,27,4,1,25312768,25369218
ANAPC4,ENSG00000053900,4,144,1,5,0,0,16,0,1,0,4,0,0,24,98,0,0,0,1,0,25377349,25418434
SLC34A2,ENSG00000157765,4,125,2,8,0,0,23,0,1,0,9,0,0,27,58,0,1,0,6,0,25662426,25676838
SEL1L3,ENSG00000091490,4,265,6,12,0,1,19,1,1,0,15,1,0,50,170,1,3,0,1,2,25748378,25862971
SMIM20,ENSG00000250317,4,41,1,0,0,5,9,0,1,0,0,0,0,12,14,0,0,0,0,0,25913869,25929155
RBPJ,ENSG00000168214,4,123,1,0,0,12,27,0,1,0,6,0,0,7,49,0,0,0,5,16,26319888,26431087
CCKAR,ENSG00000163394,4,78,2,2,0,0,13,0,2,0,2,0,0,23,28,0,0,0,4,6,26481540,26490352
TBC1D19,ENSG00000109680,4,149,0,2,0,0,24,0,0,0,6,0,0,12,103,0,0,0,0,4,26584110,26754802
STIM2,ENSG00000109689,4,144,0,2,0,0,24,0,0,0,4,0,0,20,68,0,0,0,4,24,26860870,27023068
PCDH7,ENSG00000169851,4,134,1,5,0,0,67,1,0,0,0,0,0,30,3,0,0,0,29,4,30721334,30731274
ARAP2,ENSG00000047365,4,305,1,14,0,15,37,0,0,0,4,0,0,66,179,1,1,0,0,2,36067923,36229575
DTHD1,ENSG00000197057,4,109,5,4,0,6,11,0,3,0,1,0,0,41,32,0,2,0,1,12,36281599,36343861
NWD2,ENSG00000174145,4,132,0,5,0,0,60,0,0,0,3,0,0,44,17,0,0,0,5,3,37244998,37447304
C4orf19,ENSG00000154274,4,32,0,1,0,0,6,0,0,0,0,0,0,14,8,0,0,0,4,0,37588770,37591073
RELL1,ENSG00000181826,4,52,0,1,0,2,7,0,0,0,3,0,0,11,21,0,0,0,0,8,37631341,37686376
PGM2,ENSG00000169299,4,102,1,9,0,0,8,0,1,0,2,0,0,26,49,0,0,8,6,2,37826701,37861690
TBC1D1,ENSG00000065882,4,281,4,10,0,0,27,0,0,0,4,0,0,56,181,1,4,0,2,6,37902032,38137404
KLF3,ENSG00000109787,4,52,0,1,0,0,6,0,0,0,1,0,0,13,18,0,0,4,10,0,38680529,38697319
TLR10,ENSG00000174123,4,65,5,4,0,0,21,0,3,1,0,0,0,34,1,0,1,0,3,1,38773107,38775663
TLR1,ENSG00000174125,4,61,6,5,0,0,21,0,5,0,0,0,0,32,0,1,1,0,1,0,38796386,38798782
TLR6,ENSG00000174130,4,61,2,4,0,1,20,0,0,1,0,0,0,33,0,1,1,0,3,1,38827018,38829573
FAM114A1,ENSG00000197712,4,141,5,12,0,0,16,1,1,0,3,2,0,23,92,0,1,0,2,0,38877978,38943653
TMEM156,ENSG00000121895,4,66,0,2,0,0,9,0,0,0,3,0,0,16,36,0,0,0,0,2,38970988,39032370
KLHL5,ENSG00000109790,4,157,2,10,0,13,21,1,1,0,3,0,0,23,56,0,0,1,22,16,39044862,39121078
WDR19,ENSG00000157796,4,288,6,1,0,0,22,0,3,0,8,2,0,27,222,0,1,0,0,3,39182547,39278712
RFC1,ENSG00000035928,4,240,1,5,0,0,23,0,1,0,7,0,0,38,161,1,0,0,4,5,39288662,39366340
KLB,ENSG00000134962,4,85,2,3,0,0,15,0,2,0,0,0,0,30,26,0,0,0,6,6,39406865,39448786
LIAS,ENSG00000121897,4,120,0,4,0,41,13,0,0,0,1,0,0,9,50,0,0,0,2,4,39454447,39477212
UGDH,ENSG00000109814,4,110,0,4,0,7,27,0,0,0,9,0,0,16,41,0,0,0,10,0,39500053,39527182
SMIM14,ENSG00000163683,4,39,0,0,0,0,4,0,0,0,0,0,0,1,29,0,0,0,0,5,39552233,39638932
UBE2K,ENSG00000078140,4,57,0,0,0,0,3,0,0,0,2,0,0,0,41,0,0,0,5,6,39698236,39778484
PDS5A,ENSG00000121892,4,241,0,1,0,0,42,0,0,0,20,0,0,16,155,1,0,2,4,1,39825402,39976660
N4BP2,ENSG00000078177,4,160,2,3,0,0,29,0,1,1,2,0,0,53,72,0,0,0,1,1,40097320,40154307
RHOH,ENSG00000168421,4,17,0,1,0,0,5,0,0,0,1,0,0,3,0,0,0,0,2,6,40243297,40244048
CHRNA9,ENSG00000174343,4,69,2,3,0,0,14,0,0,0,1,0,0,24,21,0,2,0,4,3,40335369,40354609
RBM47,ENSG00000163694,4,99,1,5,0,0,60,0,0,0,2,0,1,21,9,3,0,0,3,0,40425822,40438966
NSUN7,ENSG00000179299,4,76,1,2,0,0,11,0,0,0,3,0,0,18,41,0,1,0,0,2,40750615,40798896
APBB2,ENSG00000163697,4,235,1,6,0,5,24,0,0,0,9,0,0,22,139,0,1,24,4,7,40807028,41193666
UCHL1,ENSG00000154277,4,55,0,0,0,0,5,0,0,0,5,0,0,3,32,0,0,0,2,8,41256889,41268157
LIMCH1,ENSG00000064042,4,393,5,18,0,2,35,0,1,1,15,0,0,63,230,1,3,6,6,30,41360744,41697285
PHOX2B,ENSG00000109132,4,69,1,5,0,0,31,0,0,0,0,0,0,6,13,9,1,0,7,2,41745727,41748662
TMEM33,ENSG00000109133,4,67,1,2,0,0,13,0,0,0,4,1,0,10,32,0,0,0,3,4,41935389,41954296
DCAF4L1,ENSG00000182308,4,18,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,3,2,41981705,41983055
SLC30A9,ENSG00000014824,4,108,3,3,0,0,11,0,0,0,5,0,1,11,70,1,2,0,4,3,41990611,42086220
BEND4,ENSG00000188848,4,82,0,0,0,0,21,0,0,0,1,0,0,26,27,3,0,0,2,2,42117456,42152238
SHISA3,ENSG00000178343,4,35,0,0,0,0,12,0,0,0,1,0,0,13,5,0,0,0,2,2,42398026,42401545
ATP8A1,ENSG00000124406,4,257,1,7,0,0,29,0,0,0,10,0,0,28,161,0,1,12,14,2,42412855,42656972
GRXCR1,ENSG00000215203,4,32,0,3,0,1,4,0,0,0,2,0,0,12,8,0,0,0,5,0,42893174,43030638
KCTD8,ENSG00000183783,4,60,0,3,0,0,34,0,0,0,0,0,0,12,6,2,0,0,2,4,44174758,44448622
YIPF7,ENSG00000177752,4,56,2,4,0,0,3,0,1,0,6,0,0,8,35,0,1,0,2,0,44622373,44651598
GUF1,ENSG00000151806,4,222,5,10,0,0,10,0,3,0,3,1,0,31,84,0,1,85,1,3,44678528,44705521
GNPDA2,ENSG00000163281,4,61,1,5,0,0,12,1,0,0,2,0,0,6,33,0,0,0,7,0,44707655,44722332
GABRG1,ENSG00000163285,4,86,2,1,0,0,27,0,1,0,3,0,0,22,30,0,1,0,1,1,46040928,46123964
GABRA2,ENSG00000151834,4,167,1,5,0,12,18,0,0,0,8,0,1,12,44,0,0,0,8,64,46250249,46390128
COX7B2,ENSG00000170516,4,11,3,0,0,0,1,1,0,0,0,0,0,4,1,0,2,0,2,0,46734853,46735259
GABRA4,ENSG00000109158,4,99,0,1,0,0,14,0,0,0,4,0,0,18,56,0,0,0,2,5,46928137,46993515
GABRB1,ENSG00000163288,4,110,0,4,0,0,25,0,0,0,7,0,0,9,64,0,0,0,0,5,47031569,47425870
COMMD8,ENSG00000169019,4,41,0,1,0,1,5,0,0,0,1,0,0,7,20,0,0,0,2,5,47451610,47463736
ATP10D,ENSG00000145246,4,219,4,9,0,0,36,0,2,0,5,0,1,59,114,0,1,0,1,0,47512444,47587299
CORIN,ENSG00000145244,4,210,2,9,0,5,24,0,0,0,11,0,0,55,81,1,2,26,2,3,47590967,47838215
NFXL1,ENSG00000170448,4,168,6,3,0,0,9,0,0,0,7,0,4,22,121,0,2,0,3,0,47848121,47914281
CNGA1,ENSG00000198515,4,62,3,3,0,0,5,0,2,0,2,0,0,18,34,0,1,0,0,0,47936446,47952765
NIPAL1,ENSG00000163293,4,56,4,0,0,0,6,0,1,0,0,1,1,20,19,2,1,0,3,2,48016776,48036217
TXK,ENSG00000074966,4,107,0,2,0,15,8,0,0,0,7,0,0,11,60,0,0,0,5,1,48067570,48139084
TEC,ENSG00000135605,4,78,1,5,0,0,12,0,0,0,2,0,0,9,53,0,1,0,0,1,48141263,48228646
SLAIN2,ENSG00000109171,4,100,0,3,0,2,26,0,0,0,1,0,0,21,39,0,0,0,4,7,48341642,48422138
SLC10A4,ENSG00000145248,4,96,0,2,0,0,18,0,0,0,1,0,0,20,5,0,0,45,3,4,48483486,48491328
FRYL,ENSG00000075539,4,507,4,10,0,23,65,0,0,0,24,0,1,67,273,1,3,41,7,2,48492691,48681202
OCIAD1,ENSG00000109180,4,47,3,0,0,0,2,0,0,0,1,2,0,6,27,1,1,0,4,3,48831448,48860831
OCIAD2,ENSG00000145247,4,37,1,1,0,0,1,0,0,0,1,1,0,7,25,0,0,0,1,1,48885433,48904637
CWH43,ENSG00000109182,4,139,2,2,0,5,9,0,0,0,1,0,0,35,74,0,2,0,4,9,48986334,49061967
DCUN1D4,ENSG00000109184,4,137,1,3,0,9,10,0,0,0,5,0,0,8,99,0,1,0,2,3,51843076,51913670
LRRC66,ENSG00000188993,4,61,4,0,0,0,11,0,2,0,1,0,0,31,8,0,2,0,6,0,51994354,52003360
SGCB,ENSG00000163069,4,92,3,0,0,0,8,0,0,1,5,1,0,6,29,1,1,34,3,3,52017021,52038284
SPATA18,ENSG00000163071,4,125,3,2,0,0,9,0,0,0,6,0,1,21,81,0,2,0,3,2,52051624,52094953
USP46,ENSG00000109189,4,92,0,4,0,4,10,0,0,0,1,0,0,3,48,0,0,0,11,15,52597545,52659243
ERVMER34-1,ENSG00000226887,4,10,2,1,0,0,3,0,0,0,0,0,0,4,0,0,2,0,1,0,52743757,52743984
RASL11B,ENSG00000128045,4,32,0,0,0,0,4,0,0,0,1,0,0,5,9,0,0,0,5,8,52862410,52865890
SCFD2,ENSG00000184178,4,83,3,1,0,0,9,0,1,0,2,1,0,26,37,0,1,0,4,2,52873881,53365989
FIP1L1,ENSG00000145216,4,135,3,3,0,0,9,0,0,0,7,0,0,7,100,1,3,3,0,5,53377787,53460947
LNX1,ENSG00000072201,4,169,1,4,0,6,5,0,0,0,5,0,0,28,82,0,1,17,12,13,53458565,53591680
CHIC2,ENSG00000109220,4,86,0,1,0,15,13,0,0,0,3,0,0,3,35,0,0,0,3,14,54010027,54065324
GSX2,ENSG00000180613,4,35,0,2,0,0,10,0,0,0,0,0,0,12,6,0,0,0,3,4,54100274,54101993
PDGFRA,ENSG00000134853,4,173,3,11,0,0,25,0,0,0,1,0,0,31,96,0,3,6,11,0,54258779,54295350
KIT,ENSG00000157404,4,171,0,3,0,0,23,0,0,0,10,0,0,36,96,0,0,0,1,5,54657931,54738623
KDR,ENSG00000128052,4,248,0,6,0,0,33,0,0,0,8,0,0,42,159,0,0,0,2,4,55079847,55125343
SRD5A3,ENSG00000128039,4,44,0,2,0,0,4,0,0,0,0,0,0,12,21,0,0,0,1,6,55346237,55370161
TMEM165,ENSG00000134851,4,55,0,0,0,0,12,0,0,0,1,0,0,6,33,0,0,0,1,2,55396094,55425453
CLOCK,ENSG00000134852,4,147,1,2,0,0,21,0,1,0,6,0,0,21,91,0,0,0,6,1,55435386,55482857
PDCL2,ENSG00000163440,4,43,2,1,0,0,7,1,1,0,1,0,0,9,23,0,0,1,0,0,55556512,55582324
NMU,ENSG00000109255,4,75,1,4,0,0,4,0,0,0,4,0,0,14,43,2,1,6,0,1,55592036,55636282
EXOC1,ENSG00000090989,4,225,1,5,0,0,24,0,0,0,9,1,0,13,173,0,0,0,5,0,55858301,55904547
CEP135,ENSG00000174799,4,189,7,2,0,0,18,0,4,0,2,1,0,45,105,0,2,8,1,3,55952071,56024662
KIAA1211,ENSG00000109265,4,180,3,7,0,0,41,0,0,0,1,0,0,69,61,4,3,0,1,0,56298173,56327880
AASDH,ENSG00000157426,4,163,9,3,0,0,17,0,1,2,5,0,0,50,64,0,6,9,9,0,56338308,56384382
PPAT,ENSG00000128059,4,135,1,4,0,0,8,0,0,0,0,0,0,3,121,0,1,0,2,0,56395269,56429033
PAICS,ENSG00000128050,4,146,4,1,0,20,4,0,3,0,3,1,0,12,56,0,0,29,3,15,56431347,56467815
SRP72,ENSG00000174780,4,129,2,4,0,0,21,0,2,0,4,0,0,16,55,0,0,30,1,0,56469644,56506761
ARL9,ENSG00000196503,4,20,2,0,0,0,2,0,1,0,0,1,0,3,7,0,0,0,4,2,56511208,56523955
THEGL,ENSG00000249693,4,93,2,4,0,7,10,0,2,0,2,0,0,19,51,0,0,0,0,2,56530586,56603294
HOPX,ENSG00000171476,4,69,1,7,0,7,5,0,0,0,1,0,0,5,17,0,1,0,3,30,56648654,56681779
SPINK2,ENSG00000128040,4,57,1,3,0,3,4,0,0,0,3,0,0,11,18,0,1,11,1,5,56809960,56821755
REST,ENSG00000084093,4,82,1,1,0,0,24,0,1,0,1,0,0,33,12,0,0,4,7,0,56910553,56932228
NOA1,ENSG00000084092,4,34,0,0,0,0,4,0,0,0,2,0,0,7,19,0,0,0,2,0,56963385,56968581
POLR2B,ENSG00000047315,4,292,4,7,0,51,33,0,0,0,9,1,0,12,131,0,3,27,4,21,56973061,57033380
IGFBP7,ENSG00000163453,4,31,0,2,0,1,6,0,0,0,2,0,0,12,10,0,0,0,0,0,57040752,57110400
ADGRL3,ENSG00000150471,4,277,1,10,0,0,76,0,1,0,12,0,0,46,136,0,0,0,4,2,61497199,62070969
TECRL,ENSG00000205678,4,149,6,5,0,0,2,0,4,0,4,0,0,8,97,0,2,3,27,2,64276962,64409461
EPHA5,ENSG00000145242,4,268,1,10,0,0,55,0,0,0,10,1,0,45,107,0,0,3,42,5,65324035,65669840
CENPC,ENSG00000145241,4,153,0,3,0,0,19,0,0,0,2,0,0,44,83,0,0,0,4,1,67472529,67545400
STAP1,ENSG00000035720,4,70,1,3,0,1,6,0,1,0,2,0,0,13,43,0,0,0,1,3,67558711,67606385
UBA6,ENSG00000033178,4,219,8,7,0,2,23,0,1,1,11,0,0,33,132,0,6,0,3,7,67618974,67701190
GNRHR,ENSG00000109163,4,23,2,0,0,2,5,0,2,0,0,0,0,6,5,0,0,0,2,1,67740402,67754397
TMPRSS11D,ENSG00000153802,4,57,0,0,0,0,9,0,0,0,2,0,0,6,35,0,0,0,1,4,67822264,67884020
TMPRSS11A,ENSG00000187054,4,68,3,4,0,0,6,0,0,1,1,1,0,18,36,0,1,0,3,1,67911282,67963489
TMPRSS11F,ENSG00000198092,4,103,2,5,0,0,7,0,2,0,1,0,0,17,68,1,0,0,6,1,68053848,68129846
TMPRSS11B,ENSG00000185873,4,94,5,3,0,0,9,0,1,0,1,1,2,17,58,0,1,0,2,2,68227885,68245637
YTHDC1,ENSG00000083896,4,163,0,7,0,0,30,0,0,0,3,0,0,15,98,4,0,0,8,5,68314026,68349831
TMPRSS11E,ENSG00000087128,4,82,2,3,0,1,3,0,2,0,3,0,0,11,55,0,0,0,4,3,68447442,68496843
UGT2B17,ENSG00000197888,4,75,2,1,0,0,14,0,1,0,0,0,0,33,23,0,1,0,1,2,68537558,68568509
UGT2B15,ENSG00000196620,4,67,1,0,0,2,17,0,1,0,2,0,0,21,21,0,0,0,3,0,68647037,68670710
UGT2B10,ENSG00000109181,4,100,5,0,0,3,21,0,2,0,1,1,1,30,34,0,1,0,5,1,68815930,68830979
UGT2A3,ENSG00000135220,4,80,5,2,0,1,6,0,5,0,5,0,0,29,30,0,0,0,4,0,68929732,68951826
UGT2B7,ENSG00000171234,4,79,6,0,0,0,17,0,1,0,1,2,0,21,27,0,3,0,6,1,69096519,69112836
UGT2B11,ENSG00000213759,4,96,2,0,0,1,18,0,1,0,4,0,0,40,27,0,1,0,4,0,69200342,69214767
UGT2B28,ENSG00000135226,4,83,2,0,0,0,18,0,0,0,2,0,0,33,27,0,2,0,1,0,69280504,69294880
UGT2B4,ENSG00000156096,4,61,0,5,0,0,7,0,0,0,1,0,0,20,29,0,0,0,3,1,69480560,69495906
UGT2A1,ENSG00000173610,4,99,5,3,0,0,10,0,3,0,2,0,1,31,43,0,1,0,6,2,69589273,69647707
SULT1B1,ENSG00000173597,4,63,1,5,0,0,4,0,0,0,2,0,0,9,44,0,1,0,3,0,69727021,69760325
SULT1E1,ENSG00000109193,4,47,1,0,0,0,4,0,1,0,0,0,0,8,31,0,0,0,3,0,69841912,69857726
CSN1S1,ENSG00000126545,4,102,2,3,0,6,1,0,0,0,2,0,1,12,78,0,1,0,0,1,69932482,69945071
CSN2,ENSG00000135222,4,45,0,0,0,2,2,0,0,0,2,0,0,10,27,0,0,0,0,2,69956390,69961092
STATH,ENSG00000126549,4,22,0,2,0,0,2,0,0,0,2,0,0,3,13,0,0,0,1,1,69998348,70001027
HTN3,ENSG00000205649,4,30,1,0,0,0,2,0,1,0,0,0,0,4,19,0,0,0,3,1,70030662,70033320
